transaction_hash,block_hash,block_number,block_timestamp,index,spent_transaction_hash,spent_output_index,script_asm,script_hex,sequence,required_signatures,type,addresses,value
7d42411ff1d55e14c82a1fcbb9279ff79df19c85f85c50a92043e75e1ca068fa,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,1807586b0c45a7a03ce016d46644f353e1940d3889e15a66309236231761da76,2,00142ee4bc2ab2185f356d149445e7331e24ccc37b71,1600142ee4bc2ab2185f356d149445e7331e24ccc37b71,4294967293,,scripthash,3APmgs6boU3Fp5F8jdZ8wrMWK65HFu28Qk,4855665
7d42411ff1d55e14c82a1fcbb9279ff79df19c85f85c50a92043e75e1ca068fa,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,1,9a2f1fa745ca1897b96b2b2ade2b23ddd19d46db63d0106af2222aa52ba6c0df,0,0014767860cc481741552e23d711c3f51334715b271e,160014767860cc481741552e23d711c3f51334715b271e,4294967293,,scripthash,3QB3YuRjWdfHuGDVe4SPHFa6wq61fiWchj,721003
55b7b481aa3f4e9cc33b44e6afe98615aea70f99e38757975847e9c136e4a7c3,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,99a3e804fd38b2537a1eb1d5f734dd7df3cf9a760ead07dfa1a167f9d519614e,1,00148808d47c6faea925cf2485557e8a0b9467bde50f,1600148808d47c6faea925cf2485557e8a0b9467bde50f,4294967293,,scripthash,3CM9xqrTAZYawQ3FNMGv53ygWx628kf3k1,249729
150b61f76159916dfc0e8dca6a159ff3c6738ab2cb79dfed1262ff2c6d2df5f3,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,c4c211a38909f7089a146aa206b36200e7595d09c350ed4fab7d8fb9a4667663,83,,,4294967293,,witness_v0_keyhash,bc1qenlwlpmzak2yggwc5r3g9tkpt5ezhzgksp0r8w,50091511
2783ae8adeba505a4bdffbadb3ccaa3f9fbcb8c1f73fa9af824097e36f8b16d1,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,d44d78ba6d158b6bce3678bf62c0e24e0c9e5c8833b058dfe391eb05cc9e5d8f,5,,,4294967293,,witness_v0_keyhash,bc1qgkyqudaefm6zg8wdnh8akt5xpl8ku3u0z5g87w,326550
5c500efdcd6dfd51be5f03ea170ad2b512e13da33a0156dcddb4eba2ba69bc59,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,ccc1538c37733c9c0be498748eb793b8c760a0c52f4eedce8c80c2a624846b7d,0,,,4294967295,,witness_v1_taproot,bc1pw5xf36e6me5dycwcy3pr6yralmygwheme3l5vwhyrjn2h09r93nqvmmfm9,600
5c500efdcd6dfd51be5f03ea170ad2b512e13da33a0156dcddb4eba2ba69bc59,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,1,ccc1538c37733c9c0be498748eb793b8c760a0c52f4eedce8c80c2a624846b7d,1,,,4294967295,,witness_v1_taproot,bc1pw5xf36e6me5dycwcy3pr6yralmygwheme3l5vwhyrjn2h09r93nqvmmfm9,600
5c500efdcd6dfd51be5f03ea170ad2b512e13da33a0156dcddb4eba2ba69bc59,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,2,ccc1538c37733c9c0be498748eb793b8c760a0c52f4eedce8c80c2a624846b7d,2,,,4294967295,,witness_v1_taproot,bc1pw5xf36e6me5dycwcy3pr6yralmygwheme3l5vwhyrjn2h09r93nqvmmfm9,600
5c500efdcd6dfd51be5f03ea170ad2b512e13da33a0156dcddb4eba2ba69bc59,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,3,872f00eebfa94b2806767e16ebac6d8ce8e400f0629f2b69d319959e89c8618f,0,,,4294967295,,witness_v1_taproot,bc1pnwmle8hjta5nw77xfum7usfw6j9cnee5vjj2kxmlsqhp5jvdkhcq05qt0r,546
5c500efdcd6dfd51be5f03ea170ad2b512e13da33a0156dcddb4eba2ba69bc59,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,4,26c44c50c7c0797f1017939a17e7518789ede4713096fa36b78abc4224414916,0,,,4294967295,,witness_v1_taproot,bc1py37tz2ppkmjwl05wgl2xhk8kh59rptf867jnj4enjxy6y0lrvdrqdzyq7l,546
5c500efdcd6dfd51be5f03ea170ad2b512e13da33a0156dcddb4eba2ba69bc59,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,5,ccc1538c37733c9c0be498748eb793b8c760a0c52f4eedce8c80c2a624846b7d,3,,,4294967295,,witness_v1_taproot,bc1pw5xf36e6me5dycwcy3pr6yralmygwheme3l5vwhyrjn2h09r93nqvmmfm9,2994360
51b432c9e8a91f9f14b8bac3ab9a7edd237f6198cde2d00438295292893c5273,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,3b7e5412ae29c38e06888a507d13ad38432f785697be9b51988d7c549d52bc13,0,,,4294967293,,witness_v0_keyhash,bc1q3npr0dr8s0egv4gzgzshhvuc5wrvlmwnertyuh,100590
51b432c9e8a91f9f14b8bac3ab9a7edd237f6198cde2d00438295292893c5273,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,1,7e86ba45778259f23e3f9a7dea6d3fd565487483d558344aa047eb085ae2c680,0,,,4294967293,,witness_v0_keyhash,bc1qlgqweawq5kahc65azwh0lzw4xds7j73eta5d4j,446444
51b432c9e8a91f9f14b8bac3ab9a7edd237f6198cde2d00438295292893c5273,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,2,7f9188f3fe8782dce334d7fc02a29647260ac37bdd16a7862a6b4dd9671fe386,1,,,4294967293,,witness_v0_keyhash,bc1qqjgrpy25drmnjxys2pq9dn8p7stm92vukt0s8v,931450
51b432c9e8a91f9f14b8bac3ab9a7edd237f6198cde2d00438295292893c5273,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,3,ae71750236101367a255d71833cf54c44533cd13c5a0a02038b6dbaf26659d55,0,,,4294967293,,witness_v0_keyhash,bc1q2cw0nw6xd0d6lv7uyx4ntdltllec3qm7dtfsg0,289312
d600780517515301e4b1b6189d8302b78f4d8ffdc356e5b0177691989f234636,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,4dac8027ac6b789f290c0bf92805e93625f08494a2be79b32ee30491364d1f09,186,,,4294967293,,witness_v0_keyhash,bc1qth8h5l8dwggkn3dqtgxzrjduelta6hv7et4xk3,229268
